n#010711,n02065599
n#024907,n04466613
n#000350,n00093354
a#017698,a03087424
v#009903,v01988645
v#011367,v02282365
a#017126,a02997740
a#013039,a02353707
v#008264,v01661655
n#063282,n11699442
n#071414,n13368052
a#004764,a00868448
n#066939,n12467018
v#002238,v00459296
n#057471,n10602470
n#051589,n09602828
n#054017,n10022111
n#080893,n15080168
n#040008,n07394115
n#022434,n04056932
n#081926,n15265518
n#035252,n06532763
v#002357,v00485274
n#050939,n09489601
n#066350,n12342299
n#065107,n12082764
r#001951,r00280730
n#033997,n06286100
n#035464,n06575681
n#032624,n05964098
a#003331,a00600395
n#013829,n02600953
n#056386,n10412055
v#001712,v00350889
n#001909,n00389610
n#025128,n04503269
n#049101,n09135894
n#004639,n00909281
a#012353,a02235330
v#001671,v00342812
a#014859,a02659931
a#002172,a00386196
n#067576,n12603672
v#010834,v02171664
a#016498,a02899666
n#076480,n14285662
n#042138,n07735179
n#077958,n14556879
n#024886,n04462835
n#034987,n06485933
v#001443,v00298896
n#013968,n02624167
r#001826,r00263657
n#036544,n06774468
n#032519,n05942579
n#046238,n08512736
n#036610,n06787429
n#012857,n02429123
n#067594,n12606907
a#014645,a02627927
a#012208,a02210478
v#013347,v02693965
n#024022,n04316924
v#005605,v01152040
n#037702,n06970946
v#001979,v00406053
n#005002,n00983287
v#001469,v00304422
n#034434,n06375008
n#036127,n06695579
n#055367,n10244665
a#000856,a00158546
n#077536,n14476852
v#005182,v01074701
n#036882,n06835740
a#009686,a01765132
n#003558,n00697734
v#000464,v00094312
a#011413,a02083391
a#000535,a00101452
n#018843,n03451798
a#011762,a02146864
a#008149,a01486327
n#028559,n05160796
n#054730,n10140783
v#000525,v00106217
n#025134,n04504038
n#060027,n11057548
n#003509,n00688915
n#037190,n06895176
a#012389,a02241543
n#038746,n07162059
n#030684,n05578251
n#039192,n07243565
a#013722,a02475855
n#064846,n12023726
n#071641,n13405480
n#008340,n01631663
a#008220,a01498769
n#060303,n11109289
a#013671,a02467386
r#002602,r00382031
n#024216,n04351233
n#039471,n07293391
n#067664,n12621260
a#018025,a03137558
n#003177,n00627664
v#001800,v00368847
n#062343,n11473291
n#037759,n06979645
n#061766,n11368076
n#045712,n08402828
a#000154,a00031824
n#063303,n11703669
a#000041,a00008734
n#029832,n05405554
n#025440,n04557111
a#012627,a02282171
n#071740,n13423779
a#005534,a01010862
v#007091,v01427907
v#011157,v02239261
n#060484,n11142155
n#028564,n05162217
a#018056,a03141756
v#011226,v02253956
n#065634,n12188120
a#005448,a00995365
n#041182,n07598928
v#001708,v00349951
n#076186,n14236743
n#058988,n10861741
n#044464,n08155302
v#006559,v01330442
n#045469,n08354678
n#079933,n14915804
n#006146,n01203676
v#001358,v00283664
n#020884,n03796522
n#041605,n07657440
a#008750,a01599532
n#041710,n07670995
n#009759,n01898593
n#006047,n01181475
n#037176,n06892657
n#042846,n07845495
n#049213,n09157555
a#009118,a01662912
n#062338,n11472699
n#050237,n09353815
n#009811,n01906749
n#069460,n12985773
v#004203,v00871405
n#037991,n07016428
n#044525,n08167365
n#045766,n08411701
n#069521,n13001529
n#073525,n13738840
n#042800,n07838659
v#003638,v00744070
n#068786,n12851673
n#019211,n03510987
v#013016,v02624263
n#050813,n09464486
n#024485,n04396226
n#031767,n05790012
n#079541,n14849215
v#007645,v01538310
v#002514,v00514871
n#068607,n12815838
a#005294,a00966477
n#018054,n03321843
n#013724,n02582591
a#012153,a02203976
n#072598,n13595844
n#025267,n04526964
n#055226,n10219577
n#045591,n08378555
a#017753,a03096141
a#007816,a01430847
a#009505,a01732855
n#075567,n14115086
n#055157,n10207169
n#028930,n05236322
n#073393,n13718046
n#067037,n12488121
n#024671,n04428502
n#019372,n03537866
n#054045,n10026763
n#039591,n07316403
n#002022,n00412449
n#007175,n01406736
n#024504,n04398497
a#007565,a01389738
a#012800,a02312250
n#070634,n13232106
a#002525,a00449525
n#061471,n11317309
n#006355,n01241767
n#042559,n07801342
n#068708,n12835578
n#049829,n09275473
n#045358,n08328876
n#049647,n09241247
n#029346,n05315612
n#009138,n01787401
n#076961,n14368192
v#011559,v02320200
v#009601,v01932482
n#014355,n02690941
n#005103,n01002165
a#009768,a01780740
n#075608,n14124232
n#003682,n00721929
n#051046,n09509375
n#073589,n13749644
a#011180,a02041229
n#014138,n02654112
n#013710,n02580336
n#080507,n15014170
v#000882,v00189189
r#001323,r00194578
a#006388,a01168845
a#016175,a02848658
n#006864,n01341876
v#010434,v02092039
n#081620,n15212358
n#081295,n15151641
v#000903,v00192659
v#012895,v02597095
n#046514,n08580326
n#013216,n02491107
n#057016,n10527147
r#002729,r00400192
n#014414,n02701260
n#005082,n00998514
n#018675,n03424489
n#047638,n08818444
n#051147,n09525746
v#002672,v00543161
n#080154,n14951229
n#058420,n10757918
n#014977,n02801938
a#013821,a02492719
a#008472,a01543361
n#009478,n01842504
n#022725,n04108137
a#005256,a00958712
n#007264,n01423001
n#020261,n03687820
n#083115,n80001002
n#051960,n09678747
n#031088,n05654201
n#081727,n15230180
a#011493,a02097152
n#008177,n01601919
a#013782,a02486122
a#005493,a01003536
n#034602,n06405589
n#079340,n14812359
n#063423,n11728350
n#055559,n10275395
n#059071,n10877253
v#003214,v00651991
r#001777,r00257864
n#016543,n03057636
n#074920,n13992387
a#002258,a00399479
v#012128,v02435867
n#057096,n10539715
n#001610,n00330984
n#010229,n01983277
a#002170,a00385990
n#079850,n14901959
n#039860,n07366799
n#056936,n10512859
n#071026,n13300411
n#059851,n11025125
n#071357,n13357720
n#004152,n00816841
n#011012,n02115641
n#016009,n02968473
r#000772,r00123582
n#000936,n00204659
n#004043,n00796197
a#014607,a02622493
a#010046,a01829254
n#067174,n12519824
n#038938,n07198757
n#066038,n12279772
a#014325,a02581829
n#002756,n00553655
v#006033,v01237088
a#017800,a03103520
n#080444,n15002346
a#007637,a01400562
a#002053,a00372571
n#039921,n07378437
n#056895,n10506544
a#007087,a01301056
a#002631,a00466725
n#050647,n09435739
v#012581,v02531500
a#007196,a01320705
n#002520,n00510723
n#046020,n08470710
r#001141,r00170412
n#019637,n03585073
v#004009,v00826333
n#082327,n80000213
n#076890,n14356578
a#001968,a00354833
v#013337,v02692197
n#048779,n09077821
n#005838,n01141593
n#006015,n01175831
n#046672,n08608813
n#049139,n09143786
n#052271,n09727627
n#052511,n09762509
n#018349,n03369640
n#026421,n04746262
n#051474,n09581338
v#007861,v01582070
a#007368,a01353226
n#056128,n10367409
n#053371,n09908769
n#047214,n08728268
n#052132,n09707061
n#075822,n14171176
n#051355,n09560196
n#002705,n00544441
n#032737,n05986822
n#067838,n12656528
a#011245,a02050368
n#036064,n06683784
n#051246,n09539730
n#032492,n05937417
n#030967,n05633385
a#013102,a02366200
a#003800,a00682329
a#016752,a02938854
n#065044,n12069488
n#081647,n15217443
n#045098,n08278324
a#017586,a03068909
n#048357,n08984223
v#002163,v00443670
n#019546,n03568430
n#050414,n09389601
n#056581,n10452631
n#053440,n09921792
n#061669,n11351347
v#004850,v01008546
n#010625,n02050586
n#027144,n04890865
n#022216,n04021028
v#012510,v02515443
n#082891,n80000777
a#013083,a02363093
n#009317,n01815855
v#004933,v01027361
n#031815,n05799071
n#053672,n09963680
n#080350,n14985383
n#056709,n10475584
n#026896,n04843270
n#060543,n11151798
n#057337,n10580772
n#001151,n00248063
a#016913,a02965415
n#018575,n03407865
r#000689,r00111609
n#063402,n11724529
v#009191,v01853542
v#009901,v01988325
n#061566,n11333071
n#040009,n07394236
n#035061,n06497331
v#006113,v01250474
a#015670,a02773862
n#054953,n10173665
n#036809,n06823760
n#053163,n09876454
n#043861,n08015731
n#066220,n12317296
n#046163,n08496798
r#000227,r00041954
a#012306,a02226162
n#035247,n06531481
n#036584,n06782019
r#000376,r00065359
n#004599,n00901476
v#005036,v01048330
n#064179,n11888271
n#051552,n09596884
n#017418,n03206908
n#028338,n05117237
n#066472,n12368028
n#037284,n06910134
n#052832,n09826945
n#056510,n10437852
n#013971,n02624807
a#006964,a01275057
n#024129,n04335693
a#008212,a01497245
n#030260,n05492426
n#029771,n05393230
n#062759,n11553419
n#040850,n07543288
n#053208,n09883807
n#081805,n15243730
n#013561,n02552737
n#028678,n05185270
v#008372,v01681048
n#050756,n09455306
n#075246,n14055796
n#036125,n06695227
n#005475,n01069867
n#028071,n05066012
n#081982,n15276307
r#000596,r00098267
v#008053,v01614774
n#072216,n13517717
n#076781,n14341334
n#026679,n04799344
a#015016,a02681776
n#009404,n01830183
v#010163,v02039679
a#005939,a01082302
n#072953,n13659943
n#042113,n07731587
n#082145,n80000031
n#077630,n14494893
n#034699,n06421844
n#052818,n09824361
a#009010,a01646120
n#080218,n14961896
n#020552,n03733547
n#041036,n07577374
a#004269,a00775301
a#018016,a03136487
n#032016,n05839663
r#000985,r00149510
v#012897,v02597449
n#032107,n05857459
a#003705,a00667079
n#071759,n13427481
n#018169,n03341606
a#016958,a02972925
n#039932,n07379963
a#017211,a03010428
n#005668,n01109467
n#018266,n03357267
n#050896,n09479962
n#028093,n05070032
n#069895,n13078021
v#003745,v00765977
n#033116,n06089314
n#082811,n80000697
a#008017,a01465468
n#011955,n02277422
n#031895,n05815075
n#057945,n10684311
a#010568,a01927455
a#005643,a01031602
n#024705,n04433377
n#020489,n03724066
n#017327,n03192347
n#076710,n14328966
n#005230,n01025678
r#002786,r00409009
n#037673,n06966070
a#012889,a02327428
a#010929,a01996051
a#001331,a00239668
n#077170,n14406573
a#014648,a02628337
n#016909,n03123917
v#010704,v02145814
v#013258,v02674879
n#061048,n11239989
v#005696,v01171799
v#007107,v01431723
v#004701,v00977871
a#011067,a02020495
n#083287,n80001192
n#073258,n13700362
n#067323,n12551877
v#009344,v01883550
n#078223,n14603798
n#074156,n13849082
a#012128,a02198891
n#031579,n05751173
n#030708,n05582859
n#002139,n00435401
v#000046,v00011982
n#048035,n08914193
v#000155,v00033599
n#013785,n02593191
n#072126,n13500023
a#015713,a02779654
a#015213,a02710825
n#024515,n04400109
a#005590,a01022064
a#014535,a02612058
n#026303,n04719376
a#016060,a02831596
n#020875,n03794957
n#039618,n07321142
n#079279,n14802167
n#072716,n13619168
a#014676,a02632595
n#016343,n03024233
n#037913,n07002599
n#063605,n11767196
n#002298,n00461402
n#075046,n14016863
n#067885,n12666050
n#066266,n12326842
n#008048,n01580644
n#022688,n04100994
a#009157,a01670221
n#033422,n06167328
n#031544,n05744421
a#009226,a01684811
n#049270,n09168707
n#036652,n06795746
n#006465,n01260309
n#043107,n07881117
n#040701,n07514968
n#058309,n10740594
a#002365,a00417204
n#011625,n02220960
n#054704,n10136283
n#057258,n10566966
a#013720,a02475604
a#012525,a02263150
a#009439,a01721197
v#007192,v01449053
n#055132,n10202624
n#049830,n09276872
a#001224,a00222969
n#044155,n08085824
n#052096,n09701833
n#065025,n12065316
n#030578,n05557500
a#009771,a01781243
v#007071,v01423793
v#012293,v02470518
n#044046,n08065093
n#039070,n07222581
a#010132,a01844141
a#014422,a02597115
v#010418,v02088949
v#000544,v00109263
n#034900,n06467868
n#002547,n00515414
a#007409,a01359861
n#058501,n10769459
n#069316,n12959371
v#006274,v01277431
v#006428,v01305099
n#066165,n12306270
n#063962,n11841247
n#066354,n12343306
a#009090,a01658269
n#059904,n11034874
n#049459,n09203217
n#034000,n06287620
n#055631,n10286282
r#001340,r00196874
n#066363,n12344996
a#011603,a02118181
a#005791,a01057541
n#006566,n01280792
n#059602,n10977881
v#004086,v00844744
n#073631,n13757582
n#026977,n04859177
n#031110,n05657999
n#078318,n14620781
r#000954,r00144586
n#034051,n06301792
n#001498,n00311195
n#043192,n07895839
n#046655,n08605863
a#006575,a01202813
n#001696,n00348312
n#067945,n12678224
n#073769,n13778261
n#060852,n11205647
n#014028,n02635013
a#008947,a01635018
v#002967,v00596644
n#005492,n01072984
a#008856,a01618053
n#055237,n10221162
v#006240,v01272234
n#015614,n02903405
n#048228,n08956760
n#052559,n09775907
r#002687,r00394020
n#015527,n02889646
n#058606,n10784795
n#054418,n10092098
n#043071,n07876281
n#009535,n01852142
n#049504,n09215023
n#059344,n10928978
n#006870,n01347858
n#003662,n00718195
r#003319,r00480504
v#012191,v02448886
r#001529,r00225410
n#078437,n14649197
v#004060,v00838786
r#003376,r00488143
v#012167,v02444297
n#053760,n09977082
n#014773,n02767038
v#009727,v01955508
v#012036,v02415394
n#068752,n12844939
n#042428,n07781207
n#015777,n02929749
n#029032,n05256702
n#013610,n02563079
n#070798,n13261597
v#006566,v01331348
n#043720,n07988229
v#009010,v01812324
n#052218,n09720033
n#042274,n07756325
a#006324,a01155968
n#054163,n10048729
a#001687,a00305590
n#061855,n11383100
v#001028,v00217152
a#015583,a02762081
v#006734,v01362430
a#001796,a00323426
n#059415,n10943115
n#069220,n12941536
n#082543,n80000429
n#040086,n07407137
n#076085,n14218887
a#000917,a00169955
n#026579,n04778630
n#034189,n06328386
n#079560,n14852646
n#051465,n09579848
a#010026,a01825671
r#000010,r00003380
n#046967,n08672199
n#005982,n01169200
n#083062,n80000948
n#056781,n10488865
n#062551,n11512650
n#023654,n04258859
n#065659,n12193334
n#000040,n00029114
n#066012,n12273939
n#064718,n11997032
a#010210,a01859801
n#027741,n05000717
n#080832,n15069820
n#017493,n03219966
n#079467,n14835478
n#042240,n07751004
a#001886,a00339941
a#006872,a01256213
n#014480,n02712907
n#012633,n02391508
n#010754,n02073041
n#022382,n04047733
r#000299,r00053952
a#013813,a02491308
n#035588,n06597758
n#042566,n07802246
n#020781,n03779128
a#003998,a00722386
n#056036,n10352663
a#001568,a00282020
n#035409,n06564640
n#051899,n09668988
n#011579,n02213362
n#017500,n03221059
v#007804,v01570562
n#005466,n01068423
n#021694,n03930515
n#061791,n11372599
n#080909,n15082524
n#005531,n01082061
v#008391,v01684180
n#023721,n04268969
n#045028,n08266070
n#066896,n12458383
r#002215,r00323193
n#042734,n07828041
n#034101,n06310945
a#008468,a01542744
n#011094,n02128669
r#002302,r00336925
n#082933,n80000819
n#076443,n14280298
n#053240,n09888832
n#064142,n11880411
v#009928,v01993549
n#062628,n11525614
n#072796,n13633596
n#064387,n11933903
n#023075,n04164406
n#082989,n80000875
n#062074,n11424400
n#033007,n06055692
n#023452,n04228215
n#074084,n13836253
a#017041,a02985102
n#054562,n10114209
n#068961,n12886831
v#010238,v02053941
a#003411,a00614990
n#021709,n03933529
n#013438,n02530637
n#051777,n09648911
a#013408,a02422685
a#016621,a02918844
a#004848,a00884157
n#063707,n11789280
n#024923,n04469684
n#027626,n04979870
a#016858,a02956272
n#067640,n12615986
a#003083,a00552618
a#002989,a00535042
a#002119,a00379992
n#068832,n12860365
n#006603,n01289444
n#081971,n15274441
n#036075,n06685860
n#072290,n13534608
n#018931,n03464757
n#034938,n06475307
n#012316,n02341974
v#008598,v01727230
n#023958,n04306847
n#076109,n14223296
v#010161,v02039413
n#078603,n14684690
a#003102,a00556318
n#022748,n04111962
a#000589,a00111129
n#074105,n13840039
v#005408,v01117609
v#002615,v00533671
n#009415,n01831930
n#039238,n07252206
n#055081,n10193967
v#002702,v00547995
n#030420,n05526384
a#015783,a02789798
a#007992,a01460982
n#076236,n14245928
n#072190,n13512036
a#015692,a02776813
n#023719,n04268680
v#002085,v00427683
a#017468,a03049350
n#073865,n13797142
n#064661,n11985586
n#053943,n10007809
n#012095,n02301935
n#074788,n13967089
v#010089,v02025353
v#005459,v01126961
n#061228,n11274103
n#078727,n14705183
n#062534,n11509570
n#054238,n10061656
n#067284,n12543639
a#015730,a02782225
n#023549,n04242871
n#063792,n11806679
n#060397,n11126783
a#002572,a00457258
n#048993,n09116214
n#028015,n05055141
v#011411,v02291548
n#018152,n03338143
v#002144,v00439199
n#060102,n11070855
n#026017,n04661706
n#030311,n05503705
v#003776,v00772488
n#064720,n11997409
a#013216,a02387662
n#074609,n13931627
n#069451,n12984377
n#036425,n06750804
n#075943,n14194183
a#015328,a02726429
a#013165,a02376995
n#069542,n13005568
v#003655,v00747135
n#064428,n11939380
n#047970,n08900204
n#065230,n12107970
n#074471,n13905275
n#054161,n10048485
n#076685,n14325575
n#063671,n11781850
n#050766,n09457199
n#070885,n13276604
a#012029,a02188817
n#026320,n04722715
v#011873,v02378851
v#006168,v01260159
n#000563,n00132601
n#040502,n07480790
n#046085,n08482866
n#012829,n02424589
v#001153,v00242747
a#000436,a00082241
n#075754,n14155834
n#056730,n10479135
v#003860,v00791764
n#046702,n08613472
n#006652,n01299735
n#031251,n05686086
n#069842,n13067191
n#041408,n07629988
n#046615,n08597579
a#008425,a01534858
n#004879,n00956172
a#014694,a02635069
n#013703,n02579303
r#003433,r00495129
n#039572,n07312221
n#013030,n02457945
a#008352,a01521905
a#003665,a00659421
a#005760,a01053634
n#013612,n02563497
a#008564,a01560821
n#009876,n01918585
n#041459,n07636669
v#009725,v01955127
n#063874,n11823305
n#060059,n11063061
n#009927,n01927928
n#069639,n13024763
n#055784,n10312077
v#009664,v01943718
n#056887,n10505613
n#047776,n08847694
r#002759,r00404622
a#011278,a02055900
a#009124,a01664015
n#019103,n03493079
n#046144,n08493493
n#068400,n12772081
n#013480,n02538216
n#050307,n09367733
v#002424,v00498530
n#055873,n10326257
v#003464,v00707322
n#013279,n02502085
n#042168,n07740115
n#076391,n14271667
n#063388,n11722036
n#026612,n04786326
v#000118,v00026941
n#076820,n14347695
a#009219,a01683221
v#003367,v00686039
n#030656,n05573602
v#005589,v01148580
a#015875,a02802694
n#047655,n08822742
n#062040,n11416087
n#004988,n00980200
n#030747,n05590740
a#006602,a01207835
a#002542,a00452605
a#002356,a00415931
n#058332,n10744164
n#047860,n08878885
n#071815,n13437379
n#051084,n09515877
v#009509,v01914657
n#080226,n14963187
n#045153,n08287586
n#027943,n05040833
n#062919,n11624840
n#017834,n03279804
n#030809,n05602982
a#007734,a01417790
n#020795,n03781683
n#078902,n14738623
n#034019,n06292000
r#002531,r00370421
a#015459,a02745555
n#073149,n13686877
n#030561,n05554405
n#009285,n01810700
a#002191,a00389310
n#011323,n02169023
n#014661,n02748088
r#001308,r00192636
a#002235,a00396444
a#006090,a01108586
n#049430,n09198574
n#040228,n07432973
v#002695,v00546873
v#012626,v02540569
n#046424,n08560415
n#078301,n14617427
n#052325,n09735542
a#016082,a02834603
n#049193,n09153710
r#002436,r00355747
n#052056,n09695514
n#012952,n02445171
a#006659,a01216710
n#004133,n00812977
n#007076,n01389507
n#070482,n13202355
n#020392,n03709644
n#051291,n09547528
n#022615,n04088797
n#016932,n03127531
v#008884,v01785748
n#007599,n01491991
n#006573,n01282289
n#047367,n08758679
n#006741,n01320479
a#008777,a01604000
a#011596,a02116934
n#049303,n09174166
n#044118,n08076705
n#082560,n80000446
a#005418,a00990053
n#018149,n03337727
n#047464,n08779042
r#002793,r00410043
r#001621,r00237636
r#003468,r00499208
n#048547,n09026204
n#079928,n14914945
a#014964,a02674148
n#019456,n03552001
n#067976,n12684640
n#027364,n04933852
v#013445,v02712243
v#008313,v01670315
n#008860,n01730307
a#006076,a01105620
n#078693,n14699441
n#073398,n13718675
n#023466,n04230093
n#025995,n04657407
n#074507,n13912115
n#016568,n03061819
n#026912,n04846383
n#050010,n09308918
n#081780,n15240119
n#065371,n12133870
n#062368,n11478514
a#002747,a00488187
n#001574,n00324834
